idhs,tinhtrang,mahs,idhs,mahs,vitri,,diachi,phuongxa,quanhuyen,tinhtp,ngaylap, dato_dientich , dato_dongia ,toadomaps
12610,9,L1923b,12610,L1923b,+ V? tr°: 1 m?t ti?n ?i?n Biàn Ph?,,1A ?i?n Biàn Ph?,Ph??ng 15,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-08-27 17:57:26.630, 285.90 ," 349,880,391.00 ",
12590,9,L2326d,12590,L2326d,+ V? tr°: 1 (M?t ti?n ???ng Tr?n Kh?c ChÉn),,27 Tr?n Kh?c ChÉn,Ph??ng TÉn ??nh, Qu?n 1,H? Ch° Minh,2021-08-30 16:06:50.207, 96.56 ," 283,654,584.00 ","10.793221, 106.690962"
13595,9,L2341a,13595,L2341a,+ V? tr°: 1 ???ng s? 53,,"Th?a 1008, t? 79",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2021-09-10 13:05:10.810, 149.10 ," 108,350,299.00 ","10.78358, 106.7471"
13596,9,L2341b,13596,L2341b,+ V? tr°: 1 ???ng s? 51,,"Th?a 826, t? 79",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2021-09-10 13:08:59.833, 102.80 ," 150,698,223.00 ","10.78408, 106.74636"
13604,9,L2341c,13604,L2341c,+ V? tr°: 1 ???ng s? 53,,"Th?a 1013, t? 79",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2021-09-10 13:12:31.860, 152.00 ," 107,201,613.00 ","10.783655, 106.746837"
13619,9,L2357,13619,L2357,+ V? tr°: 1,,"30A ???ng s? 37, kp6",Ph??ng Bçnh Thu?n, Qu?n 7,H? Ch° Minh,2021-09-15 09:40:02.530, 99.60 ," 113,502,712.00 ","10.744493, 106.716156"
12587,9,L2326a,12587,L2326a,+ V? tr°: 1,,"55 ???ng s? 6, KDC Ph??c Ki?n, ?p 5",X? Ph??c Ki?n,Huy?n NhÖ Bä,H? Ch° Minh,2021-09-15 10:52:12.933, 117.50 ," 79,625,075.00 ",
13580,9,L2326f,13580,L2326f,+ V? tr°: 1,,"Th?a 1704, t? 7, t? 6, ?p 7",X? Ph??c Ki?n,Huy?n NhÖ Bä,H? Ch° Minh,2021-09-15 10:59:35.627, 117.50 ," 78,010,195.00 ",
11572,9,L2311,11572,L2311,+ V? tr°: 1,,111D ???ng s? 36,Ph??ng TÉn Quy, Qu?n 7,H? Ch° Minh,2021-09-15 12:37:09.647, 82.40 ," 134,421,853.00 ","10.73999, 106.70851"
11242,9,L2076,11242,L2076,+ V? tr°: 1,,561 Nguy?n Th? Th?p,Ph??ng TÉn Phong, Qu?n 7,H? Ch° Minh,2021-09-17 17:23:48.220, 132.00 ," 251,738,699.00 ","10.73952, 106.70553"
11296,9,L2114,11296,L2114,+ V? tr°: 1 m?t ti?n ???ng Tr?n H?u Trang,,18A Tr?n H?u Trang,Ph??ng 11,Qu?n Ph£ Nhu?n,H? Ch° Minh,2021-09-24 09:27:41.247, 43.50 ," 209,214,096.00 ",
13603,9,L2345b,13603,L2345b,+ V? tr°: 1 ???ng Nhu?n ??c,,"th?a 535, t? 58",X? Nhu?n ??c,Huy?n C? Chi,H? Ch° Minh,2021-09-29 15:59:43.517, 300.00 ," 7,382,225.00 ","11.014801322980919, 106.49380738212612"
13632,9,L2370,13632,L2370,"+ V? tr°: 1, m?t ti?n ???ng VÖnh ?ai Trong",,"Th?a 560-79, t? 9",Ph??ng Bçnh Tr? ?ìng B,Qu?n Bçnh TÉn,H? Ch° Minh,2021-09-30 15:11:18.540, 100.00 ," 141,909,953.00 ","10.75369, 106.61561"
12601,9,L1661a,12601,L1661a,+ V? tr°: 1 (M?t ti?n ???ng ?i?n Biàn Ph?),,207 ?i?n Biàn Ph?,Ph??ng 15,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-09-30 18:35:35.547, 43.80 ," 277,627,005.00 ",
13669,7,L2391e,13669,L2391e,+ V? tr°: 1,,"102B Ngì Quy?n + Th?a 511,512,513-t? 88",Ph??ng Hi?p Ph£, Qu?n 9,H? Ch° Minh,2021-10-04 11:15:17.520, 682.00 ," 89,094,254.00 ","10.842819, 106.778571"
13713,9,L2421,13713,L2421,+ V? tr°: 1,,"Th?a 1221, t? 36",Ph??ng Linh ?ìng,Qu?n Th? ??c,H? Ch° Minh,2021-10-05 14:37:23.403, 44.10 ," 68,029,235.00 ","10.851026, 106.748566"
13665,9,L2390,13665,L2390,+ V? tr°: 1,,"Th?a 57, t? 48",Ph??ng An Ph£, Qu?n 2,H? Ch° Minh,2021-10-07 15:14:24.590, 80.00 ," 203,212,932.00 ","10.797088, 106.742268"
13615,9,L2356,13615,L2356,+ V? tr°: 1,,198-198/2-198/2a Nguy?n V?n Linh,Ph??ng TÉn Thu?n TÉy, Qu?n 7,H? Ch° Minh,2021-10-08 11:51:43.273, 481.50 ," 134,202,139.00 ","10.75142, 106.7231"
13617,9,L2353b,13617,L2353b,+ V? tr°: 1 (M?t ti?n ???ng Xa L? HÖ N?i),,"Th?a 12, 13, t? 109",Ph??ng Linh Trung,Qu?n Th? ??c,H? Ch° Minh,2021-10-08 12:24:33.227, -   , -   ,"10.854669, 106.780329"
11247,9,L2081c,11247,L2081c,+ V? tr°: 1 ???ng Nguy?n H?ng ?Öo,,124 Nguy?n H?ng ?Öo,Ph??ng 14,Qu?n TÉn Bçnh,H? Ch° Minh,2021-10-08 16:19:02.270, 64.20 ," 207,104,475.00 ",
13703,9,L2415a,13703,L2415a,+ V? tr°: 1 ???ng Kha V?n CÉn,,"981A Kha V?n CÉn, kp1",Ph??ng Linh TÉy,Qu?n Th? ??c,H? Ch° Minh,2021-10-09 14:30:30.130, 85.60 ," 117,954,596.00 ","10.864395, 106.761264"
13704,9,L2415b,13704,L2415b,+ V? tr°: 1 Kha Van CÉn,,"983 Kha V?n CÉn, kp1",Ph??ng Linh TÉy,Qu?n Th? ??c,H? Ch° Minh,2021-10-11 15:54:32.577, 386.00 ," 79,825,002.00 ","10.86443, 106.76127"
13769,9,L2458,13769,L2458,+ V? tr°: 1,,66C ???ng s? 10,Ph??ng 9,Qu?n Gï V?p,H? Ch° Minh,2021-10-11 22:15:09.137, 106.50 ," 109,817,191.00 ","10.842818, 106.653670"
11219,9,L2064,11219,L2064,+ V? tr°: 1,,"Th?a ??t s? 513, t? 23, ph??ng Th?nh XuÉn, qu?n 12, TP HCM",Ph??ng Th?nh XuÉn, Qu?n 12,H? Ch° Minh,2021-10-12 16:23:43.450, 557.90 ," 41,098,834.00 ",
11418,9,L2213a,11418,L2213a,+ V? tr°: 1,,"Th?a 163, t? 130",X? Ph?m V?n Hai,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-10-12 22:35:30.687, 111.80 ," 45,244,772.00 ",
11418,9,L2213a,11418,L2213a,+ V? tr°: 1,,"Th?a 163, t? 130",X? Ph?m V?n Hai,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-10-12 22:35:30.687, 111.80 ," 45,244,772.00 ","10.7648, 106.56616"
13804,9,L2488,13804,L2488,+ V? tr°: 1 ???ng BÖu C†t,,47 BÖu C†t 1,Ph??ng 14,Qu?n TÉn Bçnh,H? Ch° Minh,2021-10-13 21:47:07.543, 128.00 ," 178,417,450.00 ","10.7947, 106.6422"
11431,9,L2218a,11431,L2218a,+ V? tr°: 1 (M?t ti?n ???ng ???ng giao thìng n?i b? L? gi?i 14M ??n 18M - Khu ?ì th? C†t L†i 44ha),,"Th?a 274, t? 22",Ph??ng C†t L†i, Qu?n 2,H? Ch° Minh,2021-10-14 14:48:56.310, 782.70 ," 60,087,768.00 ","10.771264, 106.781994"
11432,9,L2218b,11432,L2218b,+ V? tr°: 1 (M?t ti?n ???ng ???ng giao thìng n?i b? L? gi?i 10M ??n 12M - Khu ?ì th? C†t L†i 44ha),,"Th?a 275, t? 22",Ph??ng C†t L†i, Qu?n 2,H? Ch° Minh,2021-10-14 14:51:29.297, 803.90 ," 53,011,859.00 ","10.771438, 106.782011"
13814,9,L2497,13814,L2497,"+ V? tr°: 1, M?t ti?n ???ng V? Cìng T?n",,26 V? Cìng T?n,Ph??ng TÉn Qu?,Qu?n TÉn Ph£,H? Ch° Minh,2021-10-15 09:27:02.043, 103.00 ," 99,971,017.00 ","10.790828, 106.621989"
11485,9,L1923a,11485,L1923a,+ V? tr°: 1,,245 Phan X°ch Long,Ph??ng 2,Qu?n Ph£ Nhu?n,H? Ch° Minh,2021-10-15 15:28:14.127, 698.20 ," 360,650,921.00 ",
13806,9,L2490,13806,L2490,+ V? tr°: 1 (M?t ti?n ???ng HoÖng Hoa Th†m (?o?n t? C?ng Hïa ??n Ranh SÉn bay)),,166-168 HoÖng Hoa Th†m,Ph??ng 12,Qu?n TÉn Bçnh,H? Ch° Minh,2021-10-18 18:01:46.327, 205.10 ," 165,874,877.00 ","10.8071, 106.6481"
13888,9,L2554,13888,L2554,+ V? tr°: 1 t?nh l? 941,,"Th?a 976, t? 81",X? Bçnh Hïa,Huy?n ChÉu ThÖnh,An Giang,2021-10-18 20:26:41.853, 296.00 ," 5,423,231.00 ","10.451304, 105.320915"
11568,9,L2307,11568,L2307,+ V? tr°: 1 (M?t ti?n ???ng Pasteur),,264C Pasteur,Ph??ng 8, Qu?n 3,H? Ch° Minh,2021-10-19 10:56:04.863, 46.65 ," 413,220,640.00 ",
13791,9,L2476,13791,L2476,+ V? tr°: 1 (M?t ti?n ???ng Mà Linh),,12A13 Mà Linh,Ph??ng 19,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-10-19 12:38:55.290, 87.60 ," 175,639,750.00 ","10.78885, 106.70942"
13739,9,L2437a,13739,L2437a,+ V? tr°: 1,,22 s? ??t,X? Tam L?p,Huy?n Ph£ Gi†o,Bçnh D??ng,2021-10-19 14:24:42.230," 34,436.00 "," 437,097.00 ","11.281427, 106.830958"
13770,9,L2437d,13770,L2437d,+ V? tr°: 1 (M?t ti?n ???ng ???ng Su?i S?p (???ng ?i su?i s?p)),,"Th?a 1106, t? 6, ?p TÉn An",Ph??ng TÉn ?ìng Hi?p,ThÖnh Ph? D? An,Bçnh D??ng,2021-10-19 15:11:40.110, 235.00 ," 18,489,892.00 ","10.921396, 106.798988"
13680,9,L2398a,13680,L2398a,"+ V? tr°: 1, M?t ti?n ???ng s? 5",,"10 ???ng s? 5, KNO Sìng ?ng L?n",X? Bçnh H?ng,Huy?n Bçnh Ch†nh,H? Ch° Minh,2021-10-19 15:18:26.667, 262.60 ," 104,295,967.00 ","10.72683658, 106.68782638"
13771,9,L2437e,13771,L2437e,+ V? tr°: 1,,3 th?a ??t,Th? tr?n Ph??c V?nh,Huy?n Ph£ Gi†o,Bçnh D??ng,2021-10-19 15:26:05.950," 15,254.00 "," 551,243.00 ","11.281516, 106.823671"
11388,9,L2183,11388,L2183,+ V? tr°: 1 ???ng Bçnh L?i,,286 Bçnh L?i,Ph??ng 13,Qu?n Bçnh Th?nh,H? Ch° Minh,2021-10-19 15:42:48.497, 101.30 ," 123,083,057.00 ",
13740,9,L2437b,13740,L2437b,+ V? tr°: 1 (M?t ti?n ???ng ?T-746),,"Th?a 59+179, t? 7",X? TÉn L?p,Huy?n B?c TÉn Uyàn,Bçnh D??ng,2021-10-19 15:57:16.037, -   , -   ," 11.144976, 106.822958"
13928,9,L2582,13928,L2582,+ V? tr°: 1,,"Th?a 844, t? 37",Ph??ng Long Tr??ng, Qu?n 9,H? Ch° Minh,2021-10-20 16:04:04.777, 77.20 ," 47,178,487.00 ","10.804065, 106.823695"
